label,message
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
spam,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
spam,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
spam,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
spam,Are you coming to the party tonight?
spam,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
spam,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
spam,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
spam,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
spam,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
spam,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
spam,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
spam,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
spam,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
spam,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
spam,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
spam,Win a brand new car! Just reply YES to enter.
spam,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
spam,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
spam,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
spam,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
spam,Are you coming to the party tonight?
spam,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
spam,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
spam,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
spam,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
spam,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
spam,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
spam,Your loan application has been approved! Call us now.
spam,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
spam,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
spam,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
ham,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
ham,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
ham,Congratulations! You won a free lottery ticket. Call now!
ham,"Hey, are we still on for lunch today?"
ham,Urgent! Your account has been compromised. Click the link to secure it.
ham,Win a brand new car! Just reply YES to enter.
ham,Reminder: Your bill is due tomorrow.
ham,This is not spam. Just checking if you're free this weekend.
spam,Limited time offer! Get 50% off on all items.
ham,Your loan application has been approved! Call us now.
spam,Are you coming to the party tonight?
ham,"Exclusive deal! Buy one, get one free. Don't miss out!"
